12:40:36.149481 config: drop-rate=0.00, max-delay=0s, seed=1554223236149334000
18:15:29.928689 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.929019 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.929529 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.929756 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.930279 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.930526 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.931035 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.931276 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.931780 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.932004 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.932439 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.932639 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.933045 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.933256 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.933646 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.933839 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.934239 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.934422 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.934789 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.934960 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.935363 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.935556 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.936031 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.936433 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.937647 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.937983 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.938483 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.938778 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.939170 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.939351 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.939836 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.940014 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.940360 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.940529 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.940855 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.941007 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.941328 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.941476 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.941799 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.941961 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.942325 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.942492 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.942833 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.942999 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.943354 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.943510 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.943850 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.944014 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.944357 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.944527 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.944857 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.945016 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.945350 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.945512 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.945847 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.946003 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.946344 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.946512 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.946859 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.947027 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.947371 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.947526 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.947866 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.948031 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.948370 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.948523 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
18:15:29.948858 [queue=0] packet #0, 127.0.0.1:65336 -> 127.0.0.1:8007, sz=0 is delivered
18:15:29.949024 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:65336, sz=1 is delivered
